START-OF-LOG: 3.0
CATEGORY: Single-OP low
CONTEST: WAE SSB
CREATED-BY: DXLog.net v2.6.7, modified by DXHF upload.
CALLSIGN: G3WW
GRID-LOCATOR: IO92CQ
CLAIMED-SCORE: 1470
CLUB: CWops
ADDRESS-CITY: Stafford
ADDRESS-POSTALCODE: ST16 1DS
CERTIFICATE: YES
QSO: 21240 PH 2024-09-14 0905 G3WW          59  001    4L2M          59  530
QSO: 14290 PH 2024-09-14 0908 G3WW          59  002    CR3W          59  591
QSO: 21285 PH 2024-09-14 1206 G3WW          59  003    TA3D          59  123
QSO: 21252 PH 2024-09-14 1208 G3WW          59  004    TA6B          59  028
QTC: 21252 PH  2024-09-14 1210 G3WW          002/10     TA6B          1005 DF0HQ         379
QTC: 21252 PH  2024-09-14 1210 G3WW          002/10     TA6B          1026 OT8M          196
QTC: 21252 PH  2024-09-14 1210 G3WW          002/10     TA6B          1028 DL7ACN        021
QTC: 21252 PH  2024-09-14 1210 G3WW          002/10     TA6B          1031 YU5R          172
QTC: 21252 PH  2024-09-14 1210 G3WW          002/10     TA6B          1052 F4HRM         087
QTC: 21252 PH  2024-09-14 1210 G3WW          002/10     TA6B          1053 IU8RIA        193
QTC: 21252 PH  2024-09-14 1210 G3WW          002/10     TA6B          1132 DL1DAW        130
QTC: 21252 PH  2024-09-14 1210 G3WW          002/10     TA6B          1148 EA5DFV        315
QTC: 21252 PH  2024-09-14 1210 G3WW          002/10     TA6B          1149 DL9YY         022
QTC: 21252 PH  2024-09-14 1210 G3WW          002/10     TA6B          1149 F4AIF         159
QSO: 21254 PH 2024-09-14 1212 G3WW          59  005    5B4AIF        59  642
QTC: 21254 PH  2024-09-14 1214 G3WW          105/10     5B4AIF        1200 DO2SGW        015
QTC: 21254 PH  2024-09-14 1214 G3WW          105/10     5B4AIF        1201 HB9ETH        001
QTC: 21254 PH  2024-09-14 1214 G3WW          105/10     5B4AIF        1201 DL3KF         004
QTC: 21254 PH  2024-09-14 1214 G3WW          105/10     5B4AIF        1201 DG1YBN        032
QTC: 21254 PH  2024-09-14 1214 G3WW          105/10     5B4AIF        1202 OK1KUW        008
QTC: 21254 PH  2024-09-14 1214 G3WW          105/10     5B4AIF        1203 OZ4HJ         014
QTC: 21254 PH  2024-09-14 1214 G3WW          105/10     5B4AIF        1203 DJ2AX         011
QTC: 21254 PH  2024-09-14 1214 G3WW          105/10     5B4AIF        1204 E7DX          410
QTC: 21254 PH  2024-09-14 1214 G3WW          105/10     5B4AIF        1206 E7DX          411
QTC: 21254 PH  2024-09-14 1214 G3WW          105/10     5B4AIF        1210 EI7M          330
QSO: 21362 PH 2024-09-14 1215 G3WW          59  006    UP7L          59  375
QSO: 28490 PH 2024-09-14 1217 G3WW          59  007    UN4Q          59  237
QSO: 28404 PH 2024-09-14 1306 G3WW          59  008    P3CR          59  673
QSO: 28490 PH 2024-09-14 1357 G3WW          59  009    CT9ABO        59  997
QSO: 21212 PH 2024-09-14 1505 G3WW          59  010    3W9A          59  233
QSO: 21268 PH 2024-09-14 1507 G3WW          59  011    CT9ABV        59  538
QSO: 28499 PH 2024-09-14 1625 G3WW          59  012    P3X           59  137
QSO: 28515 PH 2024-09-14 1628 G3WW          59  013    CT3KN         59  533
QSO: 14294 PH 2024-09-14 1756 G3WW          59  014    R8WF          59  396
QSO: 14209 PH 2024-09-14 1758 G3WW          59  015    5B4AIF        59  1302
QSO: 14188 PH 2024-09-14 1800 G3WW          59  016    P3CR          59  1094
QTC: 14188 PH  2024-09-14 1802 G3WW          089/10     P3CR          1105 DL5ZBS        055
QTC: 14188 PH  2024-09-14 1802 G3WW          089/10     P3CR          1108 DF9ME         019
QTC: 14188 PH  2024-09-14 1802 G3WW          089/10     P3CR          1108 DL5PSP        010
QTC: 14188 PH  2024-09-14 1802 G3WW          089/10     P3CR          1108 DL7YS         083
QTC: 14188 PH  2024-09-14 1802 G3WW          089/10     P3CR          1109 DL3AN         036
QTC: 14188 PH  2024-09-14 1802 G3WW          089/10     P3CR          1110 DO5MO         001
QTC: 14188 PH  2024-09-14 1802 G3WW          089/10     P3CR          1112 DK1FW         033
QTC: 14188 PH  2024-09-14 1802 G3WW          089/10     P3CR          1113 OV2T          091
QTC: 14188 PH  2024-09-14 1802 G3WW          089/10     P3CR          1115 DL12PP        008
QTC: 14188 PH  2024-09-14 1802 G3WW          089/10     P3CR          1115 LA9JRA        001
QSO: 14194 PH 2024-09-14 1805 G3WW          59  017    UP0L          59  816
QSO: 28417 PH 2024-09-14 1806 G3WW          59  018    CW5A          59  189
QSO: 28443 PH 2024-09-14 1807 G3WW          59  019    PY2CX         59  104
END-OF-LOG:
