START-OF-LOG: 3.0
CATEGORY: Single-OP high
CONTEST: WAE SSB
SPECIFIC: C25
CREATED-BY: DXLog.net v2.6.6, modified by DXHF upload.
CALLSIGN: DK6SP
GRID-LOCATOR: JN68AE
CLAIMED-SCORE: 7038
CLUB: Bavarian Contest Club
ADDRESS-CITY: Erding
ADDRESS-POSTALCODE: 85435
ADDRESS-COUNTRY: Germany
CERTIFICATE: YES
QSO: 28585 PH 2024-09-15 1802 DK6SP         59  001    CT9ABV        59  1356
QTC: 28585 PH  2024-09-15 1803 DK6SP         249/10     CT9ABV        1754 S56A          186
QTC: 28585 PH  2024-09-15 1803 DK6SP         249/10     CT9ABV        1755 HB9TMW        060
QTC: 28585 PH  2024-09-15 1803 DK6SP         249/10     CT9ABV        1756 DL5ZBS        200
QTC: 28585 PH  2024-09-15 1803 DK6SP         249/10     CT9ABV        1757 PD4DL         057
QTC: 28585 PH  2024-09-15 1803 DK6SP         249/10     CT9ABV        1757 DJ5LB         022
QTC: 28585 PH  2024-09-15 1803 DK6SP         249/10     CT9ABV        1757 EC6DX         092
QTC: 28585 PH  2024-09-15 1803 DK6SP         249/10     CT9ABV        1759 DL1ABR        200
QTC: 28585 PH  2024-09-15 1803 DK6SP         249/10     CT9ABV        1759 DK4CI         008
QTC: 28585 PH  2024-09-15 1803 DK6SP         249/10     CT9ABV        1800 ON3LBU        256
QTC: 28585 PH  2024-09-15 1803 DK6SP         249/10     CT9ABV        1801 SQ3POS        031
QSO: 28385 PH 2024-09-15 1804 DK6SP         59  002    CR3W          59  2337
QTC: 28385 PH  2024-09-15 1805 DK6SP         292/10     CR3W          1723 DF6EM         003
QTC: 28385 PH  2024-09-15 1805 DK6SP         292/10     CR3W          1724 DG1LS         088
QTC: 28385 PH  2024-09-15 1805 DK6SP         292/10     CR3W          1724 IZ3NVR        009
QTC: 28385 PH  2024-09-15 1805 DK6SP         292/10     CR3W          1724 DO2GT         001
QTC: 28385 PH  2024-09-15 1805 DK6SP         292/10     CR3W          1725 II2G          049
QTC: 28385 PH  2024-09-15 1805 DK6SP         292/10     CR3W          1726 OE1CIW        019
QTC: 28385 PH  2024-09-15 1805 DK6SP         292/10     CR3W          1726 ON9KVE        037
QTC: 28385 PH  2024-09-15 1805 DK6SP         292/10     CR3W          1727 IZ2EWX        002
QTC: 28385 PH  2024-09-15 1805 DK6SP         292/10     CR3W          1728 DL2VH         001
QTC: 28385 PH  2024-09-15 1805 DK6SP         292/10     CR3W          1728 DC1AVL        058
QSO: 28462 PH 2024-09-15 1805 DK6SP         59  003    PY6HD         59  203
QSO: 28430 PH 2024-09-15 1806 DK6SP         59  004    PY4LH         59  109
QTC: 28430 PH  2024-09-15 1807 DK6SP         014/7      PY4LH         1801 EU2F          340
QTC: 28430 PH  2024-09-15 1807 DK6SP         014/7      PY4LH         1801 9A6KX         804
QTC: 28430 PH  2024-09-15 1807 DK6SP         014/7      PY4LH         1803 SN7D          596
QTC: 28430 PH  2024-09-15 1807 DK6SP         014/7      PY4LH         1804 DL1ASA        374
QTC: 28430 PH  2024-09-15 1807 DK6SP         014/7      PY4LH         1805 S56B          361
QTC: 28430 PH  2024-09-15 1807 DK6SP         014/7      PY4LH         1805 DK2R          377
QTC: 28430 PH  2024-09-15 1807 DK6SP         014/7      PY4LH         1806 S56A          193
QSO: 28381 PH 2024-09-15 1807 DK6SP         59  005    PP1WW         59  633
