START-OF-LOG: 3.0
CATEGORY: Single-OP high
CONTEST: WAE SSB
SPECIFIC: K04
CREATED-BY: DXLog.net v2.6.8, modified by DXHF upload.
CALLSIGN: DB2WD
GRID-LOCATOR: JN39VV
CLAIMED-SCORE: 7950
CLUB: BAVARIAN CONTEST CLUB
ADDRESS-CITY: Windesheim
ADDRESS-POSTALCODE: 55452
ADDRESS-COUNTRY: GERMANY
CERTIFICATE: YES
QSO: 28483 PH 2024-09-15 1707 DB2WD         59  001    PY5ZHP        59  231
QSO: 28459 PH 2024-09-15 1714 DB2WD         59  002    PY2ZR         59  167
QSO: 28465 PH 2024-09-15 1724 DB2WD         59  003    LU4DJB        59  202
QSO: 28512 PH 2024-09-15 1728 DB2WD         59  004    PY5AMF        59  304
QSO: 28531 PH 2024-09-15 1732 DB2WD         59  005    PU2WDX        59  163
QSO: 28545 PH 2024-09-15 1733 DB2WD         59  006    PY2UD         59  799
QSO: 28555 PH 2024-09-15 1735 DB2WD         59  007    PY2PLL        59  417
QSO: 28570 PH 2024-09-15 1736 DB2WD         59  008    PU1JSV        59  228
QSO: 28585 PH 2024-09-15 1738 DB2WD         59  009    CT9ABV        59  1325
QSO: 28540 PH 2024-09-15 1741 DB2WD         59  010    PY2UAF        59  068
QSO: 28509 PH 2024-09-15 1745 DB2WD         59  011    CB8E          59  413
QSO: 28497 PH 2024-09-15 1748 DB2WD         59  012    PY4ZE         59  259
QSO: 28480 PH 2024-09-15 1749 DB2WD         59  013    CT3KN         59  1025
QSO: 28462 PH 2024-09-15 1751 DB2WD         59  014    PY6HD         59  197
QSO: 28446 PH 2024-09-15 1753 DB2WD         59  015    PT5J          59  1579
QSO: 28533 PH 2024-09-15 1757 DB2WD         59  016    LU9LZR        59  114
QSO: 28550 PH 2024-09-15 1759 DB2WD         59  017    PY2SBY        59  050
QSO: 28441 PH 2024-09-15 1806 DB2WD         59  018    PY2OX         59  284
QTC: 28441 CW  2024-09-15 1807 DB2WD         062/2      PY2OX         1755 DL5RMH        242
QTC: 28441 CW  2024-09-15 1807 DB2WD         062/2      PY2OX         1758 IW0HQJ        072
QSO: 14271 PH 2024-09-15 1812 DB2WD         59  019    4X6DK         59  692
QTC: 14271 CW  2024-09-15 1816 DB2WD         073/10     4X6DK         1752 M0KIK         018
QTC: 14271 CW  2024-09-15 1816 DB2WD         073/10     4X6DK         1754 DJ3HW         026
QTC: 14271 CW  2024-09-15 1816 DB2WD         073/10     4X6DK         1754 S56B          354
QTC: 14271 CW  2024-09-15 1816 DB2WD         073/10     4X6DK         1756 DL6MRM        040
QTC: 14271 CW  2024-09-15 1816 DB2WD         073/10     4X6DK         1756 HB9GZR        001
QTC: 14271 CW  2024-09-15 1816 DB2WD         073/10     4X6DK         1757 OM2VL         1223
QTC: 14271 CW  2024-09-15 1816 DB2WD         073/10     4X6DK         1757 9A3XV         193
QTC: 14271 CW  2024-09-15 1816 DB2WD         073/10     4X6DK         1758 DJ4MH         214
QTC: 14271 CW  2024-09-15 1816 DB2WD         073/10     4X6DK         1758 DL9YJ         102
QTC: 14271 CW  2024-09-15 1816 DB2WD         073/10     4X6DK         1759 DF6PB         175
QSO: 14285 PH 2024-09-15 1818 DB2WD         59  020    V85RH         59  888
QTC: 14285 CW  2024-09-15 1820 DB2WD         141/10     V85RH         1750 DK8MZ         023
QTC: 14285 CW  2024-09-15 1820 DB2WD         141/10     V85RH         1751 OH7TO         015
QTC: 14285 CW  2024-09-15 1820 DB2WD         141/10     V85RH         1752 YO3AEK        022
QTC: 14285 CW  2024-09-15 1820 DB2WD         141/10     V85RH         1755 SM2M          202
QTC: 14285 CW  2024-09-15 1820 DB2WD         141/10     V85RH         1758 DA0T          590
QTC: 14285 CW  2024-09-15 1820 DB2WD         141/10     V85RH         1758 9A3XV         194
QTC: 14285 CW  2024-09-15 1820 DB2WD         141/10     V85RH         1759 DL4LAM        096
QTC: 14285 CW  2024-09-15 1820 DB2WD         141/10     V85RH         1800 M0TIK         020
QTC: 14285 CW  2024-09-15 1820 DB2WD         141/10     V85RH         1801 IW7EDZ        005
QTC: 14285 CW  2024-09-15 1820 DB2WD         141/10     V85RH         1801 9A2EU         027
QSO: 14245 PH 2024-09-15 1822 DB2WD         59  021    E2A           59  1019
QTC: 14245 CW  2024-09-15 1823 DB2WD         166/8      E2A           1813 PE1RUS        012
QTC: 14245 CW  2024-09-15 1823 DB2WD         166/8      E2A           1817 4U1GSC        026
QTC: 14245 CW  2024-09-15 1823 DB2WD         166/8      E2A           1818 DL5L          200
QTC: 14245 CW  2024-09-15 1823 DB2WD         166/8      E2A           1820 PD3AL         023
QTC: 14245 CW  2024-09-15 1823 DB2WD         166/8      E2A           1820 YO8WW         129
QTC: 14245 CW  2024-09-15 1823 DB2WD         166/8      E2A           1820 S56A          197
QTC: 14245 CW  2024-09-15 1823 DB2WD         166/8      E2A           1821 S51CK         205
QTC: 14245 CW  2024-09-15 1823 DB2WD         166/8      E2A           1821 DC7DX         054
QSO: 14240 PH 2024-09-15 1823 DB2WD         59  022    9M2M          59  327
QSO: 14274 PH 2024-09-15 1826 DB2WD         59  023    JA7NVF        59  640
QTC: 14274 CW  2024-09-15 1829 DB2WD         063/10     JA7NVF        1201 G5LSI         029
QTC: 14274 CW  2024-09-15 1829 DB2WD         063/10     JA7NVF        1203 SM5EPO        093
QTC: 14274 CW  2024-09-15 1829 DB2WD         063/10     JA7NVF        1206 DG7AA         011
QTC: 14274 CW  2024-09-15 1829 DB2WD         063/10     JA7NVF        1207 DL2W          121
QTC: 14274 CW  2024-09-15 1829 DB2WD         063/10     JA7NVF        1208 DJ9UZ         038
QTC: 14274 CW  2024-09-15 1829 DB2WD         063/10     JA7NVF        1212 YL3APO        504
QTC: 14274 CW  2024-09-15 1829 DB2WD         063/10     JA7NVF        1217 DG1LS         069
QTC: 14274 CW  2024-09-15 1829 DB2WD         063/10     JA7NVF        1221 DF8KVK        126
QTC: 14274 CW  2024-09-15 1829 DB2WD         063/10     JA7NVF        1223 DO6YB         013
QTC: 14274 CW  2024-09-15 1829 DB2WD         063/10     JA7NVF        1224 S57AV         205
QSO: 14289 PH 2024-09-15 1830 DB2WD         59  024    JF2QNM        59  1023
QTC: 14289 CW  2024-09-15 1833 DB2WD         082/10     JF2QNM        1043 S52ON         024
QTC: 14289 CW  2024-09-15 1833 DB2WD         082/10     JF2QNM        1044 HA5AQ         004
QTC: 14289 CW  2024-09-15 1833 DB2WD         082/10     JF2QNM        1046 DK9ZQ         112
QTC: 14289 CW  2024-09-15 1833 DB2WD         082/10     JF2QNM        1047 ES0IA         970
QTC: 14289 CW  2024-09-15 1833 DB2WD         082/10     JF2QNM        1048 DL3MY         004
QTC: 14289 CW  2024-09-15 1833 DB2WD         082/10     JF2QNM        1048 SK100KTH      009
QTC: 14289 CW  2024-09-15 1833 DB2WD         082/10     JF2QNM        1050 S59AA         011
QTC: 14289 CW  2024-09-15 1833 DB2WD         082/10     JF2QNM        1052 DC8YZ         211
QTC: 14289 CW  2024-09-15 1833 DB2WD         082/10     JF2QNM        1057 F4JBG         025
QTC: 14289 CW  2024-09-15 1833 DB2WD         082/10     JF2QNM        1101 DA0M          196
QSO: 14237 PH 2024-09-15 1835 DB2WD         59  025    JA1BJI        59  155
QSO: 14219 PH 2024-09-15 1836 DB2WD         59  026    UP2L          59  2588
QTC: 14219 CW  2024-09-15 1838 DB2WD         244/10     UP2L          1540 F8LLA         002
QTC: 14219 CW  2024-09-15 1838 DB2WD         244/10     UP2L          1541 PD0G          002
QTC: 14219 CW  2024-09-15 1838 DB2WD         244/10     UP2L          1541 DG1BU         004
QTC: 14219 CW  2024-09-15 1838 DB2WD         244/10     UP2L          1542 DL6XX         003
QTC: 14219 CW  2024-09-15 1838 DB2WD         244/10     UP2L          1542 DN9BT         009
QTC: 14219 CW  2024-09-15 1838 DB2WD         244/10     UP2L          1543 DF3EC         011
QTC: 14219 CW  2024-09-15 1838 DB2WD         244/10     UP2L          1544 YT1A          377
QTC: 14219 CW  2024-09-15 1838 DB2WD         244/10     UP2L          1544 DO7ULI        020
QTC: 14219 CW  2024-09-15 1838 DB2WD         244/10     UP2L          1545 DL7BC         005
QTC: 14219 CW  2024-09-15 1838 DB2WD         244/10     UP2L          1545 DG4KAL        009
QSO: 14210 PH 2024-09-15 1838 DB2WD         59  027    JH1GEX        59  201
QSO: 14204 PH 2024-09-15 1839 DB2WD         59  028    TA3NE         59  678
QTC: 14204 CW  2024-09-15 1842 DB2WD         064/10     TA3NE         1813 ES7A          1182
QTC: 14204 CW  2024-09-15 1842 DB2WD         064/10     TA3NE         1813 I2OLV         352
QTC: 14204 CW  2024-09-15 1842 DB2WD         064/10     TA3NE         1814 F4AIF         674
QTC: 14204 CW  2024-09-15 1842 DB2WD         064/10     TA3NE         1814 DK2PZ         075
QTC: 14204 CW  2024-09-15 1842 DB2WD         064/10     TA3NE         1814 DL8NAS        356
QTC: 14204 CW  2024-09-15 1842 DB2WD         064/10     TA3NE         1814 DM7A          461
QTC: 14204 CW  2024-09-15 1842 DB2WD         064/10     TA3NE         1814 F4ARM         017
QTC: 14204 CW  2024-09-15 1842 DB2WD         064/10     TA3NE         1815 DL4CQ         135
QTC: 14204 CW  2024-09-15 1842 DB2WD         064/10     TA3NE         1815 EB3AM         019
QTC: 14204 CW  2024-09-15 1842 DB2WD         064/10     TA3NE         1815 DF9ME         094
QSO: 14197 PH 2024-09-15 1842 DB2WD         59  029    A41CK         59  008
QSO: 14181 PH 2024-09-15 1843 DB2WD         59  030    BA4TB         59  872
QTC: 14181 CW  2024-09-15 1844 DB2WD         150/5      BA4TB         1831 DL5RMH        246
QTC: 14181 CW  2024-09-15 1844 DB2WD         150/5      BA4TB         1834 SM2M          214
QTC: 14181 CW  2024-09-15 1844 DB2WD         150/5      BA4TB         1834 HA5UA         157
QTC: 14181 CW  2024-09-15 1844 DB2WD         150/5      BA4TB         1835 DL2NBU        098
QTC: 14181 CW  2024-09-15 1844 DB2WD         150/5      BA4TB         1837 DL8RDL        111
QSO: 14297 PH 2024-09-15 1845 DB2WD         59  031    HS8NKB        59  156
QSO: 14280 PH 2024-09-15 1846 DB2WD         59  032    CT9ABO        59  2550
QTC: 14280 CW  2024-09-15 1848 DB2WD         255/10     CT9ABO        1658 DG4MLJ        001
QTC: 14280 CW  2024-09-15 1848 DB2WD         255/10     CT9ABO        1658 DL7ARJ        130
QTC: 14280 CW  2024-09-15 1848 DB2WD         255/10     CT9ABO        1659 2E0KCD        002
QTC: 14280 CW  2024-09-15 1848 DB2WD         255/10     CT9ABO        1700 PB1RWZ        001
QTC: 14280 CW  2024-09-15 1848 DB2WD         255/10     CT9ABO        1701 HB3YDR        001
QTC: 14280 CW  2024-09-15 1848 DB2WD         255/10     CT9ABO        1701 M3COY         004
QTC: 14280 CW  2024-09-15 1848 DB2WD         255/10     CT9ABO        1702 DJ3AK         017
QTC: 14280 CW  2024-09-15 1848 DB2WD         255/10     CT9ABO        1704 HB9TOC        049
QTC: 14280 CW  2024-09-15 1848 DB2WD         255/10     CT9ABO        1704 9A3AEP        001
QTC: 14280 CW  2024-09-15 1848 DB2WD         255/10     CT9ABO        1705 M7OTH         001
QSO: 14263 PH 2024-09-15 1849 DB2WD         59  033    UP4L          59  1333
QTC: 14263 CW  2024-09-15 1851 DB2WD         136/10     UP4L          1835 GW0TPF        019
QTC: 14263 CW  2024-09-15 1851 DB2WD         136/10     UP4L          1835 PC7R          003
QTC: 14263 CW  2024-09-15 1851 DB2WD         136/10     UP4L          1836 IW9HSH        000
QTC: 14263 CW  2024-09-15 1851 DB2WD         136/10     UP4L          1836 DG1NFV        026
QTC: 14263 CW  2024-09-15 1851 DB2WD         136/10     UP4L          1837 DF3WV         045
QTC: 14263 CW  2024-09-15 1851 DB2WD         136/10     UP4L          1839 IN3JHZ        096
QTC: 14263 CW  2024-09-15 1851 DB2WD         136/10     UP4L          1842 LA5LJA        037
QTC: 14263 CW  2024-09-15 1851 DB2WD         136/10     UP4L          1843 LA5LJA        038
QTC: 14263 CW  2024-09-15 1851 DB2WD         136/10     UP4L          1844 DH0HAN        053
QTC: 14263 CW  2024-09-15 1851 DB2WD         136/10     UP4L          1845 DL5CV         030
QSO: 14273 PH 2024-09-15 1852 DB2WD         59  034    JE6RPM        59  1062
QSO: 14186 PH 2024-09-15 1857 DB2WD         59  035    CN8YZ         59  247
QSO: 14256 PH 2024-09-15 1900 DB2WD         59  036    E2K           59  859
QTC: 14256 CW  2024-09-15 1902 DB2WD         106/6      E2K           1853 DK6QW         115
QTC: 14256 CW  2024-09-15 1902 DB2WD         106/6      E2K           1853 OT6M          038
QTC: 14256 CW  2024-09-15 1902 DB2WD         106/6      E2K           1858 UR4QFP        076
QTC: 14256 CW  2024-09-15 1902 DB2WD         106/6      E2K           1859 G0HYS         007
QTC: 14256 CW  2024-09-15 1902 DB2WD         106/6      E2K           1859 RW3AI         089
QTC: 14256 CW  2024-09-15 1902 DB2WD         106/6      E2K           1900 9A3YT         032
QSO: 14217 PH 2024-09-15 1903 DB2WD         59  037    5B4AIF        59  2303
QTC: 14217 CW  2024-09-15 1905 DB2WD         297/10     5B4AIF        1653 MW0VKD        001
QTC: 14217 CW  2024-09-15 1905 DB2WD         297/10     5B4AIF        1653 DL8RDL        070
QTC: 14217 CW  2024-09-15 1905 DB2WD         297/10     5B4AIF        1654 S57SWR        005
QTC: 14217 CW  2024-09-15 1905 DB2WD         297/10     5B4AIF        1656 2E0KCD        001
QTC: 14217 CW  2024-09-15 1905 DB2WD         297/10     5B4AIF        1657 IU1RVZ        003
QTC: 14217 CW  2024-09-15 1905 DB2WD         297/10     5B4AIF        1658 DH0DM         024
QTC: 14217 CW  2024-09-15 1905 DB2WD         297/10     5B4AIF        1659 G4UEL         009
QTC: 14217 CW  2024-09-15 1905 DB2WD         297/10     5B4AIF        1700 IZ4KOJ        003
QTC: 14217 CW  2024-09-15 1905 DB2WD         297/10     5B4AIF        1700 I2GGJ         007
QTC: 14217 CW  2024-09-15 1905 DB2WD         297/10     5B4AIF        1704 M0CKE         001
QSO: 14169 PH 2024-09-15 1906 DB2WD         59  038    TA4A          59  598
